Brand,Model,Year,Category,Rating,displacement_cc,power_hp,torque_nm,engine_cyl,engine_stroke,Gearbox,bore_mm,stroke_mm,fuel_cap_lts,fuel_control,cooling,trans_type,dry_weight_kg,wheelbase_mm,seat_height_mm,front_tire,rear_tire,trevors_fav
Aprilia,dorsoduro 900,2020,Super Motard,NA,896.1,95.2,90,V2,Four-Stroke,6-Speed,92,67.4,12,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,186,1515,870,120/70-ZR17,180/55-ZR17,No
Aprilia,etx 150,2020,Allround,NA,149,NA,NA,Single Cylinder,Four-Stroke,5-Speed,62,49.5,18,Single Overhead Cams (Sohc),Air,Chain,NA,1330,NA,90/90-17,110/80-17,No
Aprilia,rs 125,2020,Sport,NA,124.2,28.2,NA,Single Cylinder,Four-Stroke,6-Speed,58,47,14.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1353,820,100/80-R17,130/70-R17,No
Aprilia,rs 125 gp replica,2020,Sport,3,124.2,15,10.9,Single Cylinder,Four-Stroke,6-Speed,58,47,14.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1353,820,100/80-R17,130/70-R17,No
Aprilia,rs 50,2020,Sport,3.4,50,NA,NA,Single Cylinder,Two-Stroke,6-Speed,39.9,40,14.5,NA,Liquid,Chain,NA,NA,820,100/80-17,130/70-17,No
Aprilia,rs 660,2020,Prototype / Concept Model,NA,660,100,NA,Twin,Four-Stroke,6-Speed,NA,NA,NA,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,169,1369,NA,120/70-17,180/55-17,No
Aprilia,rsv4 1100 factory,2020,Sport,NA,1078,217,122,V4,Four-Stroke,6-Speed,81,52.3,18.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,177,1439,851,120/70-ZR17,200/55-ZR17,No
Aprilia,rsv4 rf,2020,Sport,3.2,999.6,201,115,V4,Four-Stroke,6-Speed,78,52.3,18.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,180,1420,840,120/70-ZR17,200/55-ZR17,No
Aprilia,rsv4 rr,2020,Sport,NA,999.6,201,115,V4,Four-Stroke,6-Speed,78,52.3,18.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,180,1420,840,120/70-ZR17,200/55-ZR17,No
Aprilia,rx 125,2020,Enduro / Offroad,NA,124.2,15,10.9,Single Cylinder,Four-Stroke,6-Speed,58,47,7.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1350,905,90/90-21,120/80-18,No
Aprilia,rx 50,2020,Enduro / Offroad,NA,50,NA,NA,Single Cylinder,Two-Stroke,6-Speed,39.9,40,7,NA,Liquid,Chain,NA,1395,880,80/90-21,110/80-18,No
Aprilia,shiver 900,2020,Naked Bike,NA,896,95,90,V2,Four-Stroke,6-Speed,92,67.4,15,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,207,1465,810,120/70-ZR17,180/55-ZR17,No
Aprilia,sr 50 r,2020,Scooter,3.7,49,NA,NA,Single Cylinder,Two-Stroke,Automatic,40,39.3,7,NA,Liquid,Belt,NA,1290,795,130/60-13,130/60-13,No
Aprilia,sr 50 r gp replica,2020,Scooter,3.1,49,NA,NA,Single Cylinder,Two-Stroke,Automatic,40,39.3,7,NA,Liquid,Belt,NA,1290,795,130/60-13,130/60-13,No
Aprilia,sr max 300,2020,Scooter,NA,278,22,23,Single Cylinder,Four-Stroke,Automatic,75,63,15,Overhead Cams (Ohc),Liquid,Belt,NA,NA,815,120/70-15,140/60-14,No
Aprilia,sr motard 125,2020,Scooter,NA,124,9.6,8.2,Single Cylinder,Four-Stroke,Automatic,57,48.6,7,Single Overhead Cams (Sohc),Air,Belt,122,NA,775,120/70-14,120/70-14,No
Aprilia,sr motard 50,2020,Scooter,NA,49.9,4.6,3.8,Single Cylinder,Four-Stroke,Automatic,40,39.3,7,NA,Air,Belt,106,1350,820,120/70-14,120/70-14,No
Aprilia,srv 850,2020,Scooter,3.7,839.3,76,76.4,V2,Four-Stroke,Automatic,88,69,18.5,Single Overhead Cams (Sohc),Liquid,Belt,249,1593,780,120/70-R16,160/60-R15,No
Aprilia,srv 850 abs-atc,2020,Scooter,3.8,839.3,76,76.4,V2,Four-Stroke,Automatic,88,69,18.5,Single Overhead Cams (Sohc),Liquid,Belt,250,1593,780,120/70-R16,160/60-R15,No
Aprilia,stx 150,2020,Allround,NA,149,NA,NA,Single Cylinder,Four-Stroke,6-Speed,62,49.5,18,Single Overhead Cams (Sohc),Air,Chain,NA,1330,NA,90/90-17,110/80-17,No
Aprilia,sx 125,2020,Super Motard,3,124.2,15,22.2,Single Cylinder,Four-Stroke,6-Speed,58,47,10,NA,Liquid,Chain,NA,1350,880,100/80-R17,130/70-R17,No
Aprilia,sx 50,2020,Super Motard,2.8,50,NA,NA,Single Cylinder,Two-Stroke,6-Speed,39.9,40,7,NA,Liquid,Chain,NA,1365,820,100/80-17,130/70-17,No
Aprilia,sx 50 factory,2020,Super Motard,3.4,50,NA,NA,Single Cylinder,Two-Stroke,6-Speed,40,39.3,7,NA,Liquid,Chain,NA,1395,875,100/80-17,130/70-17,No
Aprilia,tuono 125,2020,Naked Bike,NA,124.2,15,10.9,Single Cylinder,Four-Stroke,6-Speed,58,47,14.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1350,810,100/80-17,130/70-17,No
Aprilia,tuono 660,2020,Prototype / Concept Model,2.9,660,95,NA,Twin,Four-Stroke,NA,NA,NA,NA,Double Overhead Cams/Twin Cam (Dohc),Liquid,NA,NA,NA,NA,120/70-17,180/60-17,No
Aprilia,tuono v4 1100 factory,2020,Naked Bike,3.5,1077,175,121,V4,Four-Stroke,6-Speed,81,52.3,18.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,185,1450,825,120/70-ZR17,200/55-ZR17,No
Aprilia,tuono v4 1100 rr,2020,Naked Bike,3.5,1077,173,121,V4,Four-Stroke,6-Speed,81,52.3,18.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,185,1450,825,120/70-ZR17,190/55-ZR17,No
Bmw,blechmann r18,2020,Prototype / Concept Model,NA,1800,90,158,Two Cylinder Boxer,Four-Stroke,6-Speed,NA,NA,NA,NA,NA,Shaft Drive,NA,NA,NA,NA,NA,No
Bmw,c 400 gt,2020,Scooter,NA,350,34,35,Single Cylinder,Four-Stroke,Automatic,80,69.6,12.8,Overhead Cams (Ohc),Liquid,Chain,NA,1565,775,120/70-ZR15,150/70-ZR14,No
Bmw,c 400 x,2020,Scooter,NA,350,34,35,Single Cylinder,Four-Stroke,Automatic,80,69.5,12.8,Overhead Cams (Ohc),Liquid,Chain,193,1565,775,120/70-ZR15,150/70-ZR14,No
Bmw,c 650 gt,2020,Scooter,2.7,647,60,63,Twin,Four-Stroke,Automatic,79,66,15.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,241,1591,795,120/70-ZR15,160/60-ZR15,No
Bmw,c 650 sport,2020,Scooter,3.9,647,60,63,Twin,Four-Stroke,Automatic,79,66,15.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,236.8,1591,800,120/70-ZR15,160/60-ZR15,No
Bmw,c evolution,2020,Scooter,NA,NA,48,72,Electric,Electric,NA,NA,NA,NA,NA,Liquid,NA,275,1610,765,120/70-R15,160/60-R15,No
Bmw,f 750 gs,2020,Enduro / Offroad,3.6,853,77,83,Twin,Four-Stroke,6-Speed,84,77,15,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1559,815,110/80-19,150/70-17,Yes
Bmw,f 850 gs,2020,Enduro / Offroad,3.6,853,95,92,Twin,Four-Stroke,6-Speed,84,77,15,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1593,860,90/90-21,150/70-R17,Yes
Bmw,f 850 gs adventure,2020,Enduro / Offroad,NA,853,95,92,Twin,Four-Stroke,6-Speed,84,77,23,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1593,875,90/90-21,150/70-R17,Yes
Bmw,f 900 r,2020,Sport,3.6,895,103,92,Twin,Four-Stroke,6-Speed,86,77,13,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1521,770,120/70-ZR17,180/55-ZR17,Yes
Bmw,f 900 xr,2020,Sport,2.9,895,103,92,Twin,Four-Stroke,6-Speed,86,77,15.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1521,860,120/70-ZR17,180/55-ZR17,Yes
Bmw,g 310 gs,2020,Sport,3.6,313,33.5,28,Single Cylinder,Four-Stroke,NA,80,62.1,11,Double Overhead Cams/Twin Cam (Dohc),Liquid,NA,NA,1420,835,NA,NA,Yes
Bmw,g 310 r,2020,Sport,3.1,313,33.5,28,Single Cylinder,Four-Stroke,NA,80,62.1,11,Double Overhead Cams/Twin Cam (Dohc),Liquid,NA,158.5,1380,785,110/70-17,150/60-17,No
Bmw,k 1600 b,2020,Touring,NA,1649,158,175,In-Line Six,Four-Stroke,6-Speed,72,67.5,26.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Shaft Drive,NA,1618,750,120/70-ZR17,190/55-ZR17,No
Bmw,k 1600 grand america,2020,Touring,NA,1649,158,175,In-Line Six,Four-Stroke,6-Speed,72,67.5,26.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Shaft Drive,NA,1618,750,120/70-ZR17,190/55-ZR17,No
Bmw,k 1600 gt,2020,Touring,3.6,1649,158,175,In-Line Six,Four-Stroke,6-Speed,72,67.5,26.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Shaft Drive,306,1618,750,120/70-ZR17,190/55-ZR17,No
Bmw,k 1600 gtl,2020,Touring,3.6,1649,158,175,In-Line Six,Four-Stroke,6-Speed,72,67.5,26.5,Double Overhead Cams/Twin Cam (Dohc),Liquid,Shaft Drive,NA,1618,750,120/70-ZR17,190/55-ZR17,No
Bmw,r 1250 gs,2020,Enduro / Offroad,3.4,1254,136,143,Two Cylinder Boxer,Four-Stroke,6-Speed,102.5,76,20,Double Overhead Cams/Twin Cam (Dohc),Liquid,Shaft Drive,NA,1525,850,120/70-R19,170/60-R17,Yes
